reference,generated_summary
Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,Ryan is visiting family in Manchester. Chris and Ann stayed home with Ann for the first time
Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,Bruce's crowdfunding campaign is going well. He has around 200 backers right now
Liam will pick up Kane at 8. ,Liam will pick Kane
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,Kate and Mary had a fight with Chris. Kate doesn't know why she's still talking to him. She doesn't want to be friends with him any more.
"Celine and Mark went skating, it's the first time for Mark.",Celine and Mark went on skates for the first time. Mia would like to
Sarah paid 500 quid to go back home for Passover. Sarah is going to the desert with the whole family. Lia went to Negev last year. Passover is both Lia and Sarah's favorite holiday. Lia will talk to her mum about the tickets. Sarah is flying on the 28th.,Sarah and Lia are going back home for Passover. Sarah bought her tickets yesterday for 500 quid. Lia's family is going to Negev this year.
"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment. ",Gene sent a package to Jack on Friday. Jack hasn't received it yet
Miranda can't make her meeting with Stephanie as she has to work. ,Miranda and Stephanie will cancel tomorrow's meeting because Miranda has to work.    Miranda works 20 hours
Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,. Blake will wait for Clara and Jenny on the one of the one platform of Fabro
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,Raymond and Charlotte are going to have a pizza and some pesto pennes. Charlotte will come over in 10 minutes and bring wine.
"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.","Zack and Dwayne have seen the new Jersey Shore season. The original cast is Snooki, J-Wow, Pauly D, Ron, The Situation, Deena and Vinny. Dwayne will start watching the new season."
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",Will is standing in a line longer than the post office itself to send a traditional letter in the XXI century. The line consists almost entirely of elderly people who don't have bank account and pay their bills via post office paying cash.
Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,"Serena and Ella went to the new club in Cork last weekend, but it was empty. Ella won't go there again as they need"
Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,Margaret and Molly are considering going to Sweden for a week in January. They bought cheap tickets half a year ago. They will visit the Vasa Museum in Stockholm.
Frank will join Avril at the races at the weekend.,"Avril is going to see horse racing with Frank at the weekend. Frank will go mushroom picking with Avril, but he doesn't like"
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,Mel will take Adam and Xander to Multisports this week. Mair will bring them round at half 10 tomorrow. Mel's house is a complete pigsty.
Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,Ethan went to the gym every day this week. Ray and Dustin will meet at Ray's place at 8 pm. Ethan will pick up the kids at 9 pm.
Diana and Fran are going to a hip-hop workshop in a week.,Diana is going to a hip-hop workshop. Frann will go with her. There is an open level or beginner level class. They will meet in a week.
Pam has probably left her phone when she was shopping. Dot suggests there is a way to get it back.,Pam lost her phone. She went shopping and left it on the counter. She talked to every single store she visited and nothing happened. She has only had the phone for half a year. 
"A person was beaten and mugged on campus and had to be hospitalised. The attacker wore a mask. An official statement will be released, along with a newspaper article. Truman and Rodney think the campus security is subpar, even though there are cameras around.","A guy got beaten and mugged on campus. The assailant had a mask on. The beaten man is in the hospital, but he'll be fine."
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,Deborah and Nathan are going on a trip to the forest tomorrow. Nathan will pick up the girls from school and they will meet at home to have a quick bite. They will go to the cliff where they were last year.
Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead. ,"Casper, Alexander, Igor and Lewis will not go to the lecture with Mr Linda tomorrow. They are going to meet near the university instead."
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,"Judie's girlfriend has had a 1000-dollar tattoo done at Warsaw ink. Javier wants to get a tattoo done there, but he wants to go back"
Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,Jessica and Michael are coming to the hotel on the 15th of August. They will be at the hotel around 2 p.m.
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.","Marsha, Cynthia, Mohammad and Gavin are going to Nosy Be to spend a week on the beach with John. They will stay in a hotel there."
Cyprien irritates Adelina by giving too many responses.,"Cyprien was born in Jarrow, educated in Loughborouogh and now lives in London. He comes from the atoms in the air that he breath or the food he eats."
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3. ,Joanna needs to get the coffie stains out of her ecru dress. Ethel advises her to take it to the dry-cleaner. Jagiellonska 3 has a cheap one.
"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",Charlie doesn't want to have a pizza with Anna and Charlie is still upset about the things that happened
A lot of sick people go to Nadine's clinic because of the cold weather.,It's cold outside. Kris and Ovi don't want to go anywhere. Nadine's clinic is getting lots of sick patients.
Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,"Leticia lost her wallet. She will get it back as soon as possible, but she will have to get new documents. Miranda will lend her 10$."
Paula needs the paper from the office to submit an application.,Paula is going to the office tomorrow to pick up the application
Ben and Steven will go to Marco's tonight to eat pizza.,Ben and Steven will have
Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,"Daniel took Terence's money. Terence found it, because he forgot he'd placed it elsewhere last month. Daniel is upset."
Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,Lucy will have to throw the garbage out
Willy and Vinny will car pool with Winny's red Mustang.,Vinny will lend Willy his Mustang. They will car pool together a couple of days a week.
"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",Lindsey has just finished her class and wants to go for another class. She asked one girl to put her name on the attendance list instead of me. Last week she did the same.
Jason wants to meet Dory over the weekend. Dory's friend is going to stay with her for a week. Jason has been working on a movie with Lucy for the past two months. Jason bought a video-creator app.,Dory's friend is coming over the day after tomorrow. She will stay for a week. Dory and Jason are working on the movie. Jason purchased the app in which to video and to edit and Lucy has a script.
"Jared and Michelle used to go out together. Now he'd like to ask Kelly, Michelle's best friend, out. He gets her permission.","Michelle and Jared used to go out with Kelly. Michelle doesn't mind if Jared asks Kelly out, because she"
Reeve has no plans for the winter break. Booker is going to ski in Italy. Dodson and Trish are thinking of going to the seaside somewhere near for 3/4 nights.,"Dodson and Trish want to go to the seaside, but they can't afford it. They will book a hotel for 3/4 nights to make Trish happy."
Alex is coming for a drink tonight at 8 to Zayna's place.,Alex and Zayna will meet at 8
Grace and Audrey didn't manage to talk at yesterday's party. Grace is about to graduate. She doesn't know if she will apply for a grad school or take a gap year.,Grace and Audrey didn't talk to each other at the party last night. Grace is excited about graduating soon. She will apply for grad school or take a year off.
Natalie wants Monica's cheesecake recipe.,Monica sends Natalie the recipe for
Ethan will soon send Jason's phone number to Dixie.,Jair will give Dixie Jason's phone number to Ty
"Amanda will give another try to ""Parks and Rec"".",Amanda didn't like parks and rec. She's not a big fan of the actress who plays the
Bob has bought a new game. Harry can't afford to do it at the moment.,Bob bought a game and wants to play it with Harry. Harry has no money to spend on
"Randal is buying nail polish for Sidney in the store, and she's explaining to him which pink she wants. ",Sidney bought everything except the nail polish. Randal is still in the store. He doesn't know which one to buy.
"Pat is interested in baseball and hockey, he doesn't know much about basketball anymore. He plans to play basketball with Mike one day.","Pat is not a soccer fan, but he likes baseball and hockey. Mike likes basketball. They will meet up one day to play a game."
Nate and Julie are overbooked. Nate is having problems with the registration system so he has to deal with it himself.,Nate and Julie are overbooked for the first day of the dinner. The registration system is bad. Nate has to create a new file and feed the data into the tables himself.
"Farrah shared his collection of fossils with the class, and Enrique was very impressed. Enrique would like Farrah to show the collection for the 4th grade students as well.",Farrah shared her Fossil collection with Enrique's class. Enrique and his students were amazed. Farrah will come back again to share her collection with the 4th grade students. She will give her name and number to the teacher.
The temperatures where Thomas stays are -3 at night. There is frost in the morning. Zoey is in the tropics. Thomas had a walk around Belchen's summit on Sunday.,Zoey sends Thomas something to cheer him up on a cold day. Thomas is fine in the tropics. On Sunday they had a walk around the summit of Belchen in the sunshine.
"Trinny, Susannah and Linda will meet at 6 at the main entrance.","Trinny, Susannah and Linda will meet at 6 at the main entrance"
"Emma, Peter and Daniel are going to Amiens tomorrow. Emma and Daniel are tired of Paris. Emma and Daniel will meet at Emma's place tomorrow at 9 AM.",Emma and Daniel are going with Peter to Amiens tomorrow. They are tired of Paris and want to see some countrysides. They will meet at Emma's place at 9 am.
Breann and Dianne are going to buy a cheetah print pet hut with a 10% coupon code.,"Pet shop sends Breann and Dianne a 10% discount code for new customers. Red and Gray is the most popular color, but Breann wishes there was a cheetah print."
"When Wanda and Hugh arrive, they will quickly make the pizza and get started. They need to make the base and prepare everything earlier. ","Hugh and Wanda will make the pizza base and prepare everything earlier, then stick it in the"
James informs that the next ASEEES conference will be held in San Francisco. Chloe was hoping for Hawaii. James doesn't think there will be a conference in Hawaii soon due to the high cost of travel.,The next ASEEES conference will take place in San Francisco. The last conference in 1993 was criticised for the high costs of traveling to the place.
Jim tracks Finn's package number 45678 which will be delivered to him tomorrow. ,Finn's order number is 45678. His package has left the warehouse and will be delivered to him tomorrow.
"The content for November email blast is on the Dropbox, no need to send it.",Rhonda will send the content for the November email blast
Derek McCarthy will pick up an Android cable from Tommy's wife at 8:15.,Derek McCarthy needs an Android cable for an hour as he's out of charge. Tommy is in Poland but can give Derek McCarthy one from his wife. She will give it to Derek McCarthy.
Judy is staying for the weekend. Derek asks Judy to feed his animals on Friday and Saturday. Judy agrees. Derek will give her his keys on Thursday and provide Judy with details.,Judy will feed Derek's animals on Friday and Saturday. Derek will give her his keys on Thursday.
"Laura, Kelsey, Oona and Sid are going to see ""Aquaman"" on Thursday at 8:10 pm. Oona will get the tickets.","Laura, Oona, Sid and Kelsey are going to see Aquaman on Thursday at 8:10 pm. Oona will buy the tickets."
Rob wants to start doing 30 minutes of physical activity every day. Greg is already doing 60 minutes. Anna wants to start exercising just like Rob. ,"Rob, Greg, Will and Anna are going to do 30 minutes of exercise every day to get off the couch challenge. They will do walking, biking, swimming or whatever exercise they enjoy."
Cynthia and Bennett will go to a new bistro she discovered. ,Cynthia and Bennett will go to a new hipster bistro. They will meet at a place where people bring their dogs and everything.
Lorenzo took keys from airbnb and went to the room. He's waiting for Will and Amanda.,"Amanda, Will and Lorenzo are in Tuscany. Will is on the train in Arezzo and Amanda is still on the highway. Lorenzo has just arrived. He will take the keys to the room from the airbnb."
Walker and Booker plan to play games all night. Walker will bring his Xbox console at Booker's request.,Walker will come with his Xbox console. Booker and Walker will play games all night
Laura's mom passed away this morning. Anne and Kristian are showing their support to Laura.,Laura's mom passed away this morning. Kristian and Anne will come to visit Laura.      Â.
Several cafes were destroyed when the river flooded. The cost of repair is exorbitant.,"The cafes by the river got damaged by the flods. They want to re-build them, but the cost to fix the damage is too high"
Katy and Ana invite Carlton to join them for a movie by Lola Arias on the making of the play he had seen. He will come to their place earlier on Saturday.,"Ana, Carlton and Katy are going to see a film by Lola Arias. They will meet on Saturday at 7 to watch the film."
John sent Henry Bristol Stool Scale. John was expecting a pic of Henry's poop. Henry had a nice poop this morning but isn't willing to send a pic. ,Henry had a nice poop this morning. John was expecting a picture of his poop. Henry never really is constipated. Henry should write it on his Tinder profile as a metaphor.
"Mary and Patricia are flying to Japan in a week. Patricia is scared of long flight, earth-quakes and tsunamis. James is comforting her. Mary tried to comfort Patricia too with no effect.","Patricia and Mary are flying to Japan in a week. They are afraid of the long flight, earth-quakes, and tsunamis. James assures them that nothing will happen."
Linda refuses to accept plants for her garden from Mika. She would not be able to plant them before leaving.,"Linda will give Mika a few plants for her garden, but Mika won't"
"Drade told her brother in the group chatting room that what he had said was wrong. Marenda thinks that he got out of it because he became angry, as he is short-tempered. Drade refuses to apologise and invite him again, since she feels that she is not the one to be blamed but him.",Drade's brother got out of the group chatting room. Marenda wants Drade to apologize and send the invitation to him. Drade doesn't want to do that.
Kate broke her arm and she's going to the hospital. She'd like to know whether her medical insurance covers hospital costs. Greg suggests her to call Linda or ask someone at the reception about it.,Kate broke her arm and she's going to the hospital. Greg advises her to call Linda or ask someone at the
Charlie's sister has passed her last university exam. Charlie and Frank will go out to celebrate that tonight.,Charlie's sister has just passed her last exam on her Uni. Frank will
Bella wants to talk with Clara and she will come to her place after 7:30.,Clara and Bella will meet at 7:30 tonight to have a drink and talk. Clara will bring a snack and bring wine. Clara's drive is taken by her camper.
Jose Ricky and Amanda are very enthusiastic about the new year as they will travel a lot during the summer of 2019.,"Amanda, Ricky and Jose are celebrating Christmas. They are looking forward to the new year. Ricky is going to Cuba, Mexico, Thailand and"
Rob will be home tomorrow. Rob and Susan will have dinner together after Rob's work. Susan will cook something special.,Susan and Rob will have dinner together tomorrow. Susan will cook something special
Denise and Dominique has a test tomorrow on units 2 and 3.,Dominique and Denise will
"While redesigning the interior, Steph looks for copper-coloured hangers.","Sharon loves the lamps Steph bought at Ikea. They are copper coloured. They need proper hangers, preferably from copper. Steph doesn't know"
"Anna can't talk to Peter right now, she will call him in 20 minutes. ",Anna will call Peter in 20 minutes
Jesse broke his razor and wants to borrow Stig's.,Jesse broke his razor
Mary is giving Matt Patrick's new phone number.,Patrick is not picking up Matt's calls. He changed his number
"Uncle Sam was in hospital, but it was nothing serious. He and Lucy are like second parents to Chiara  and Yvonne. Chiara and Yvonne were in Chicago 2 weeks ago at their cousin's wedding. Yvonne is dating an Argentinian.",Lucy's uncle Sam is in hospital. Yvonne and Chiara were in Chicago 2 weeks ago. They were at their cousins wedding. 
"Thomas will buy butter. He is on his way home. Jack is making a mushroom soup, but will wait with cooking until Thomas comes.",Thomas will buy butter for Jack. Jack is making a mushroom soup.
Helen has left her laptop at home and needs it for the presentation today. Debbie will bring it to Helen's work. ,Debbie will bring Helen's laptop to work as she has a presentation today.
Jessica's plant is withering. She doesn't know what plant it is. Boston found it out using Google Images.,Jessica got a plant for her birthday and it's dying already. She doesn't know the name of it. Boston looked it up on Google Images.
"John and Annie are moving to London because he lost his job in Germany and found a better offer working in IT here. Annie isn't happy with the move. Amber, who was supposed to stay in their London flat for 5 years, has to move. Erin offers her place but Amber plans on staying with John and Annie.",John and Annie are coming back to London because John lost his job in Germany. Amber will have to look for a new flat. She will stay at Erin's until she finds a new one.
"They are meeting at Fratellis, upstairs.","Vicky, Audrey, Ludovica, Greg, Michelle, Brandon, Ryan and Audrey will meet at Fratelli's at 7.30pm."
Kaylin has set her alarm for tomorrow.,Amir and Kaylin don't feel well. Kaylin has set three alarms just in case. Amir doesn't feel like going out tomorrow.
"Keira wonders why wildangel plays in the wrong order. Lois is considering deleting her account as she could not log on. Lois saw Keira's sister in town, who was supposed to be grounded. Keira might tell on her. ",Lois is thinking of deleting Wildangel3 and Wildangel2. She created it when she was 10. Keira's sister is grounded for the month.
Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,Natacha will pick Charles up at Vesinet station at 5:30pm. 
Simon was on the phone before so he didn't hear Helen calling. Simon will fetch Helen some tissues as they're out of toilet paper.,"Helen was on the phone with Simon, but he didn't hear her. Simon will fetch some tissues"
There is a blizzard going on outside. Ricky went hiking a couple years ago with friends. They rented a cabin in the wild.,It's a real blizzard outside. Shelly and Tom haven't seen such weather in years. Ricky went hiking in the mountains a couple of years ago as a group of friends. They rented a cabin.
Johny wants to go for a gig with Lucy. She prefers to go with Maggie and her best friends. They will meet at 6 PM at her house to prepare for the evening. The gig starts at 8 PM.,Lucy wants to go to the gig with her friends. Lucy and her friends will come to Maggie's at 6pm to pamper themselves. The gig starts at 8.
"It's payday tomorrow. When Jack gets home, he and Rose will talk about Christmas gifts for everybody. ",Jake and Rose will talk about Christmas gifts for everybody tomorrow. Rose loves making gifts for
Martha saw a documentary about minimalism.,"Martha saw a documentary about minimalism gurus. Jake thinks it's a good idea to buy things that will serve you longer, but it's difficult to be mindful about everything you buy."
Albert has passed his driving test on the 4th attempt.,Albert has just passed the driving exam
Jaya hasn't seen Ravi's mum for 4 months in the club. Ravi's mum has been suffering from knee pain for 5 years. Ravi's mum stays at home following doctor's advice. Ravi will pass Jaya's wishes to his mother.,"Jaya hasn't seen Ravi's mother in the club for almost 4 months. She has been suffering from knee pain for almost 5 years now and the doctor has asked her to restrict movement. She is still the same, but abiding by the doctors advice she prefers to stay at home."
"Lynn and Diana are disgusted by sugar babies, Wilbur tries justifying this lifestyle, but Justin doesn't believe it.","It's not worth it to have sex with some old wrinkled guy to pay your bills. Steviee, Diana, Wilbur, Kellene and Justin don't believe it's true."
Alice has a terrible flu. She's forgotten to vaccinate herself.,"Alice has never had such a terrible flu. She is at home for 10 days. She hasn't taken any vaccine, because she forgot about it."
Sandra bought a present for Milla right before Marco's party and left it in his place. She asks Marco to bring it over. ,Sandra left Millas present at Marco's place yesterday. Sandra bought
Mum will prepare something to snack on for Steve.,Mum will wrap something
Zariah has been suffering from back pain recently.,Zahiah has a back pain. Dane is alright.    Zahia has a pain in his back
James misses Hannah. They agree for James to pick Hannah up on Saturday at 8.,Hannah is about to sleep. James will pick her up at 8 on Saturday to go to a party with him on Saturday evening.
Rachel and Caron are getting drinks in Red Lion at 8 tonight.,on will meet Rachel at the Red Lion at 8 tonight. 
Victor cannot help Sara with the event they're organizing as he's busy this Saturday.,"Sara wants Victor to help with the event they're organizing this Saturday, but he's busy this Saturday. "
"Mike and Dave notice Wendy got prettier. Dave wants to hit on her, but she's with Jerry. He'll try anyway.",Wendy has grown prettier since she came from Houston. Dave will have to hit on her soon as Jerry is her lover.
Patricia cannot talk now. George will call her in about an hour.,George will call Patricia in an hour
Mario is waiting on the airport in Luxemburg now.,"Mario has landed in every airport in Europe today. He is in Luxembourg now. Moe, Klara, Eddie and Mario"
Lena and Brian don't like their new professor. They will see each other at philosophy class tomorrow.,Lena and Brian don't want to do the homework at the first class because the new professor is psycho. They will do it tomorrow at philosophy class.
Elvina needs information about the dress code at the local theatre. Booth has been there before and recommends wearing something casual. Averil is surprised there even is a theatre.,Booth went to the local theatre the other day. Elvina got an invite to the same theatre. Averil is shocked they have a theatre here
Callum is still busy.,Callum is still busy
Emily is waiting for Jacob while the buses have almost left.,Jacob is on his way to the parking lot. Emily needs to
"Chuck told Ella that he'd met up with Molly. He made up the story, as actually Molly refused to go out with him. ","Molly met up with Chuck on Friday, but Ella and Ella don't believe it. Molly is going to kill Chuck."
Sally and Rita like Borns' new album very much. Rita is also excited about Florence's new single which comes out tomorrow. Sally didn't know about it.,Rita and Sally are excited about Borns' new album. Florence's new single is coming out tomorrow.
Gloria is frustrated with her financial situation. She will try to plan her meals better.,"Gloria is too poor for her lifestyle. Her therapy is expensive. She cooked sushi and tiger prawn korma, but pancakes and soups are cheap."
Haley sends Jenny and Tess a photo of when Bella the cat was 2 weeks old.,Haley found an old photo of Bella when she was a kitten. She was about 2 weeks old. Now she's middle-aged.
"Jeff, Peter and Miranda wonder what American and global economy will be like.","This Christmas at Wall Street was the worst since the end of the 19th century, but it's bounced back since. Jeff is worried about the economic war on China that Trump is waging and his unpredictability. Miranda and Peter expect a global economic meltdown in the early 2020s."
Alexa asked Ethan to insult Hunter out of jealousy.,Alexa asked Ethan to insult Hunter because she was too jealous to see him with Ethan that day. They will talk about it tomorrow.
Ann is still at school. She will be home at 7 so she can meet Meg then.,Ann will be home at 7.
Lorenna is not coming to the party because her daughter is ill. She is going to see a doctor with her. Ann and Shirley send kisses to the kid.,Lorenna can't come to the party tomorrow because Emma has a fever and she needs to go to the doctor. She will stay at home with her for a few
"Iga and her boyfriend are not sitting together since Monday, because they had to cancel their weekend getaway. It made Iga very angry. Iga's boyfriend failed to convince a group to change the date of the presentation.",Adam has a juicy gossip about Iga's weekend getaway with her boyfriend. They had to cancel because he couldn't talk his group into changing the date of
"Samuel's language is Telugu, which is spoken in south east India. It has nearly 90 million speakers; it's written left to right; it's based on Brahmin script. Teluguland has 23 provinces. It's quite poor. ""Anna"" means ""elder brother"" and Thammu or Thammadu - ""younger brother"". Tim's 55, Samuel's 35.","Samuel is from Telugu, a language spoken in South east India. It is based on Brahmin script and written left to right. Samuel is 35 years old, while Tim is 55."
Pete will get a pear yogurt for Jen if they have it.,Jen wants a pear-flavoured yogurt. Pete will have a look around for a different flavour. Jen doesn't like any other flavour
"Eve, Charlie and Nicole are meeting at the entrance.","Eve, Charlie and Nicole are meeting at the"
Jenkin has been reading about spirit animals and he was drawn to a dolphin. Sophie would choose a fox. Jenkin will bring pack of cards with spirit animals to Sophie tomorrow.,Jenkin is a dolphin. Sophie is a fox. Jenkin will bring her spirit animals to Sophie tomorrow. She will bring them over tomorrow.
Daisy is sending Scarlett her RGS application.,Daisy is sending Scarlett her RGS application to her.   ÂÂÂ
Christie and Katie are tired after the party. They both had fun.,Katie and Christie are tired after
Carla has a day off tomorrow. She will meet Sam in Meanwood in a cafe at 2 pm.,Sam and Carla will meet at 2 at Meanwood to go to the cafe that serves cakes. Carla is working tomorrow
Daniel will find out who rents a pop corn machines on Lily's request.,Lily needs to rent a pop corn machine for the office Christmas party. Daniel will
Louis doesn't know what he should give Lilly and Stephen as their wedding gift. Sara advises him to check if they have a gift list.,Sara is on a boring meeting. Louis wants to know what he can buy for Lilly and Stephen for the wedding. 
"Chris started jogging again. He performed better than expected. Matt can't jog now because of his heart medication effects but he recalls that when playing football in the past, he also performed very well after a break.","Chris tried jogging for the first time today. He did quite well. Matt is taking medication that slows his heart rate, so he needs to stay a bit longer at work today."
Dan has watched Punisher season 2 and Eric finds the first one better than the second one. They both think it's a shame they discontinued Daredevil.,Eric and Dan watched Punisher season 2. Eric thinks the first one was better but the second one did some things better. Netflix discontinued Daredevil.
Geri and Hilary will go to check out some sexy heels for Geri tomorrow after work. They will also have some frozen yoghurt. ,Hilary and Geri will go to the mall tomorrow to buy some new shoes. They will also get some frozen yogurt at the same place.
Top management of the company where Jacob and Alex work is coming from France next week. Jacob got an invitation to the meeting with them via Outlook. Formal dress code is required. ,Top management is coming from France next week. Jacob and Alex got an invitation via Outlook to the meeting. There is a mandatory formal dress code required.
Joana will bring Sandy some games like dixit and carcassonne.,Joana will bring games for Sandy and
"Jenny, Jeremy and Joan are going to a concert on Saturday and agree to have a drink at Barcelona located at 8th avenue beforehand.","Jenny, Joan and Jeremy are going to a concert on Saturday. They are going"
John is not sure if there is practice today but Matt claims there is.,Matt and John have practice
George is coming to a meeting with Blake.,George and Blake are coming
"Steve and Rob will talk about new Dream Theater album, after they finish listening.",Steve bought the new Dream Theater album 5 minutes ago. Rob has it on his desk
Martin will get Alex two bottles of milk after he finishes the project.,Martin will buy two milks in a couple of hours as he has to finish the project. Martin bought two
Hansel will tell his sis to text Jeremih back.,Hansel will tell his sister to text back to Jeremih because she's mad at him.
Joy sent Peter the link to her beauty shop.,Joy sends Peter the link of her beauty shop. Peter will look at it.
Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.,"Josh spent New Year's Eve with a bunch of close friends at his place. Emma went to the seaside, visited a lot of clubs and ended up on the beach for midnight."
Andy is going to work late so he won't see Sue before 8.,Andy and Sue will be
Stewart and Shari find the current president ignorant and incompetent. They hope he gets voted out. Stewart is going to see what possibilities there are of volunteering in the upcoming elections.,Shari and Stewart don't like the way the current president is behaving. They want to vote him out. Stewart will let them know if they can volunteer to get out the voters.
Lydia has exchanged sexual messages with him. Lydia does not feel like pursuing the affair because he is engaged. Lydia will have a word with him because what he is doing is unfair.,Lydia added him on Facebook and he accepted her invitation. He is engaged. Lydia is trying to ignore him. Camila and Lydia work in the same company.
Daria has a new job at a law firm.,Daria got a new job at a law firm. 
"On the following week, Sarah will get her time off from Monday to Wednesday.",Boris will give Sarah first choice of dates the week after the PTO request. Sarah will have a long weekend off. Boris will come to her first.
Blair and Chuck are going to meet the wedding planner after work at Nonna Rita's. The tagliatelle served at Nonna Rita's are very good.,Blair and Chuck are meeting with the wedding planner at Nonna Rita's after work. Chuck wants to order the seafood tagliatelle.
Ruth got an email with an attachment from Alan. ,"Alan sent an email to Ruth, but she never got it. Ruth has just got it and didn't"
Payne and Oscar will have a coffee at Tristano's in half an hour.,Oscar and Payne will meet at Tristan
Frank loves Hope and Hope loves Frank. ,Frank and Hope love each other. 
Luke is amazed by Gina's talent for painting. Gina sent Luke a PDF file with a picture of the parrot she painted yesterday.,Gina painted a parrot yesterday. She sent Luke a photo and a PDF of the parrot.
Tina and Steve are having pasta for dinner. They'll meet in the car park after Steve finishes work. They'll do the shopping together.,"Tina and Steve will meet in the car park to do some shopping after work. They will have pasta for dinner with broccoli, ham, cheese and cream."
Trump is acting like a contemptible fool and it is getting worse. Rudi has sent Henrietta the link to his interview.,Rudi sends Henrietta and Henrietta a video of the last trump video. The whole interview is here. Henrietta can't believe he said that about a congress woman.
Cole and Luis are sitting in the same room and yet they're texting each other. ,"Luis and Cole are in the same room. Luis is not going to talk to his roommate, because Cole is sitting a few inches from him"
Daniel has passed driving license exam.,Daniel passed his driving license exam. Kate congratulates him.
The individual meeting with Andrew Simmons takes place tomorrow in room 104. Samuel Anderson and Katherine Jackson won't attend it because he has an appointment and she has a retake.,"Samuel Anderson and Katherine Jackson won't be able to come to the individual meetings tomorrow. The meetings will take place in Andrew Simmons' office, room 104."
"Rosie is better, but still not well.",Rosie is better today
Ty needs a translator. Veronica doesn't speak French.,Veronica doesn't speak French
Emily is at a doctor's office. There is a nun and a blind crazy man waiting as well.,Emily is waiting to see her doctor with a nun and a blind
Frank will help Sarah and Mary transport the aquarium that is a gift for someone.,"Lisa, Mary and Sarah are going to give Aquarium to their son. Frank will help them transport the aquarium. Sarah will call Lisa and Mary later."
"Mario wants Conor to bring him a bucket of fries from KFC as the latter one is out, and Mario will pay for it himself. ",Mario wants Conor to bring him a bucket of fries from KFC. Conor is out with some friends from college. He will pay for it himself
Ditty came back last night. Inga has a parcel for Ditty. Inga will be back from work today at 6 p.m. and Ditty will come to collect the parcel. ,Ditty came back last night. Inga didn't want to wake Ditty up this morning. Andy was emptying Ditty's letter box. Ditty collected a parcel for Inga just before Xmas. Hans is at home in the afternoon.
Chelsea won a game with Huddersfield this afternoon. Higuain scored twice. Damian's happy about it and he hopes it will be a turning point for Chelsea. ,"Higuain scored twice for Huddersfield against Chelsea. Jacob and Mason didn't watch the game, because they were busy all afternoon."
Jay will lend Joe money for the ticket for the event. Ruth and Paulette will accompany them.,Jay will lend Joe some money to buy tickets for the event in Kenya. Ruth and Paulette will accompany Jay and Joe to the concert.
Robyn drank too much beer last night and lost control. She is feeling better today.,"Robyn drank too much beer last night. Robyn is feeling better today, but she exaggerated with her behaviour. Samantha doesn't want to take drugs."
Aaron has a stopover in Cairo. He can pay a short visit to the city between flights provided that he is careful.,Aaron has a connecting flight in Cairo and might leave the airport for a few hours to pass the time. Adam has never been to Egypt.
"Gino wants Renee’s advice on what to wear. She gives some hints so that he doesn't look like a waiter and recommends wearing black pants, a white shirt and brown shoes.",Gino doesn't know if he should wear the white or the black shirt. Renee advises him to stick with the black pants and see if he has another colored shirt.
James will pick up Richard at 6:15.,James will pick up Richard at 6
